#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;ITALIAN;;;;;;;;x
HOLD_ELECTION_EFFECT;An election is held in $TITLE$.\n;Une élection se tient en $TITLE$.\n;In $TITLE$.\n wird gewählt.;;Elección en $TITLE$.\n;Una elezione in corso in $TITLE$.\n;;;;;;;;x
donate_money_to_saint_anthony_desc;Donate money to the Order of Saint Anthony in exchange for Piety and lifelong respect from the [Root.Religion.GetName] Church.;Il est possible de donner de l'argent à l'Ordre de Saint Antoine en échange de piété. Cet acte augmentera également le respect de l'Église [Root.Religion.GetName] envers vous.;Ich kann dem Orden des Heiligen Antonius Geld spenden im Tausch gegen Pietät und den lebenslangen Respekt durch die [Root.Religion.GetName]e Kirche.;;Puedo hacer una donación a la Orden de San Antonio. A cambio obtendré la Piedad y el respeto de por vida de la Iglesia [Root.Religion.GetName].;Dona del denaro all'Ordine di Sant'Antonio in cambio di Pietà e dell'eterno rispetto da parte della Chiesa [Root.Religion.GetName].;;;;;;;;x
donate_money_to_the_immortals_desc;Donate money to the Immortals in exchange for Piety and lifelong respect from the [Root.Religion.GetName] Church.;Il est possible de donner de l'argent aux Immortels en échange de piété. Cet acte augmentera également le respect de la Grande Prêtrise [Root.Religion.GetName] envers vous.;Ich kann den Unsterblichen Geld spenden im Tausch gegen Pietät und den lebenslangen Respekt durch die [Root.Religion.GetName]e Kirche.;;Puedo hacer una donación a los Inmortales. A cambio obtendré la Piedad y el respeto de por vida de la iglesia [Root.Religion.GetName].;Dona del denaro agli Immortali in cambio di Pietà e dell'eterno rispetto da parte della Chiesa [Root.Religion.GetName].;;;;;;;;x
donate_money_to_the_zealots_desc;Donate money to the Zealots in exchange for [Root.Religion.GetPietyName] and lifelong respect from the [Root.Religion.GetName] Priesthood.;Je peux donner de l'argent aux Zélotes en échange de [Root.Religion.GetPietyName] et du respect permanent du clergé [Root.Religion.GetName].;Ich kann den Zeloten Geld spenden im Tausch gegen [Root.Religion.GetPietyName] und den lebenslangen Respekt durch die [Root.Religion.GetName]e Priesterschaft;;Puedo hacer una donación a los Zelotes. A cambio obtendré la [Root.Religion.GetPietyName] y el respeto de por vida del sacerdocio [Root.Religion.GetName].;Dona del denaro agli Zeloti in cambio di [Root.Religion.GetPietyName] e dell'eterno rispetto da parte dei Sacerdoti di fede [Root.Religion.GetName].;;;;;;;;x
EVTDESC_SOA_1841;Great [Root.PrimaryTitle.GetRulerTitle], your extremely generous donation will aid us greatly in our continued defense of the [Root.Religion.GetName] faithful! You have my friendship, as well as that of the priesthood.\n\nBy Zoroaster's will,\nGrand Master [From.GetFirstName];Noble [Root.PrimaryTitle.GetRulerTitle], votre très généreuse contribution nous aidera grandement dans notre défense perpétuelle de la foi [Root.Religion.GetName]. Recevez ma reconnaissance ainsi que celle de la Grande Prêtrise.\n\nQue la volonté de Zoroastre soit faite,\nGrand Maître [From.GetFirstName];Großer [Root.PrimaryTitle.GetRulerTitle],\nEure äußerst großzügige Spende wird uns sehr helfen in unserer andauernden Verteidigung der [Root.Religion.GetName]en Gläubigen! Ihr habt meine Freundschaft wie auch die der Priesterschaft.\n\nIm Wille Zoroasters\nGroßmeister [From.GetFirstName];;Gran [Root.PrimaryTitle.GetRulerTitle], ¡esta donación tan generosa nos será de gran ayuda en nuestra defensa continua del culto a Zoroastro! Tiene mi amistad, así como la del sacerdocio.\n\nPor deseo de Zoroastro,\nGran Maestre [From.GetFirstName];Grande [Root.PrimaryTitle.GetRulerTitle], la tua generosa donazione ci aiuterà grandemente nella nostra continua opera di difesa della fede [Root.Religion.GetName]! hai la mia amicizia e quella di tutto il clero.\n\nPer volere di Zoroastro,\nGran Maestro [From.GetFirstName];;;;;;;;x
EVTDESC_SOA_1941;Great [Root.PrimaryTitle.GetRulerTitle], your extremely generous donation will aid us greatly in our continued defense of Jerusalem, the Third Temple and the [Root.Religion.GetName] faith! You have my friendship, as well as that of the priesthood.\n\nRemember Masada!\nGrand Master [From.GetFirstName];Noble [Root.PrimaryTitle.GetRulerTitle], votre très généreuse contribution nous aidera grandement dans notre défense perpétuelle de Jérusalem, du Troisième temple et des fidèles [Root.GetReligionMascPl]. Recevez ma reconnaissance ainsi que celle de la Grande Prêtrise.\n\nSouvenez-vous de Massada !\nGrand Maître [From.GetFirstName];Großer [Root.PrimaryTitle.GetRulerTitle],\nEure äußerst großzügige Spende wird uns sehr helfen bei der Verteidigung Jerusalems, des Dritten Tempels und des [Root.Religion.GetName]en Glaubens! Ihr habt meine Freundschaft, wie auch die der Priesterschaft.\n\nIm Im Gedenken an Masada.\nGroßmeister [From.GetFirstName];;Gran [Root.PrimaryTitle.GetRulerTitle], ¡esta donación tan generosa nos será de gran ayuda en nuestra defensa continua de Jerusalén, del Tercer Templo y de la fe [Root.Religion.GetName]! Tiene mi amistad, así como la del sacerdocio.\n\nEn recuerdo de Masadá,\nGran Maestre [From.GetFirstName];Grande [Root.PrimaryTitle.GetRulerTitle], la tua generosa donazione ci aiuterà grandemente nella nostra continua opera di difesa di Gerusalemme, del Tempio e della fede [Root.Religion.GetName]! Hai la mia amicizia e di tutto i sacerdoti.\n\nRicorda Masada!\nGran Maestro [From.GetFirstName];;;;;;;;x
PREVENT_DECADENCE;This character will not contribute to decadence in his dynasty.;Ce personnage ne contribue pas à la décadence de sa dynastie.;Dieser Charakter will nicht zur Dekadenz seiner Dynastie beitragen.;;Este personaje no contribuirá a la decadencia se su dinastía.;Questo personaggio non contribuirà alla decadenza della sua dinastia.;;;;;;;;x
TITLE_REQUEST_CLAIM;Claim;Revendiquer;Anspruch;;Solicitud;Rivendicazione;;;;;;;;x
TITLE_REQUEST_CLAIM_TOOLTIP;Request a Claim on this Title;Demander au Pape une revendication sur ce titre;Bittet um Erteilung eines Anspruchs auf diesen Titel.;;Solicitud de derecho sobre este título;Richiedi una Rivendicazione su questo Titolo;;;;;;;;x
TITLE_CANNOT_USURP_COUNTIES_OTHER_REALM;§RNot possible to Usurp County rank Titles outside your Realm;§RVous ne pouvez pas usurper un titre comtal hors de votre pays;§RGrafschaften außerhalb Eures Reiches können nicht übernommen werden.;;§RNo es posible usurpar títulos de conde fuera de vuestro reino;§RNon è possibile usurpare un titolo di Conte al di fuori del proprio Reame;;;;;;;;x
TITLE_CANNOT_USURP_BARONIES;§RNot possible to Usurp Barony rank Titles;§RVous ne pouvez pas usurper un titre du rang d'une baronnie;§RBaronien außerhalb Eures Reiches können nicht übernommen werden.;;§RNo es posible usurpar títulos de barón;§RNon è possibile usurpare il Titolo di Barone;;;;;;;;x
TITLE_CANNOT_USURP_OWN;§RCannot Usurp Titles in your own Realm without a Strong Claim!;§RVous ne pouvez pas usurper un titre dans votre pays sans revendication forte sur celui-ci;§RTitel im eigenen Reich können ohne starken Anspruch nicht übernommen werden!;;¡§RNo podéis usurpar títulos en vuestro propio reino sin un derecho de peso!;§RNon è possibile usurpare Titoli nel proprio Regno senza una Rivendicazione Forte!;;;;;;;;x
TITLE_NEW_PRIMARY_NOT_SAME_RANK;§RThe new Primary Title has to be the same Rank as the previous one!;§RLe nouveau titre principal doit être du même niveau que le précédent;§RDer neue Primärtitel muss vom gleichen Rang wie der vorherige sein!;;¡§REl nuevo título principal tiene que ser del mismo rango que el anterior!;§RIl nuovo Titolo Principale deve avere lo stesso Rango del precedente!;;;;;;;;x
TITLE_NEW_PRIMARY_IS_SAME;This is Already your Primary Title!;Ce titre est déjà votre titre principal ! ;Dies ist bereits Euer Primärtitel!;;¡Ya es vuestro título principal!;Questo è già il tuo Titolo Principale!;;;;;;;;x
TITLE_NEW_PRIMARY_IS_PATRICIAN;§RCannot set your Primary Title to a Patrician Settlement!;§RVous ne pouvez pas associer votre titre principal à un comptoir patricien;§REine bürgerliche Siedlung kann nicht als Primärtitel ausgewählt werden!;;¡§RNo podéis establecer vuestro título principal sobre un asentamiento patricio!;§RNon puoi selezionare come Titolo Principale un Insediamento Patrizio!;;;;;;;;x
asked_for_claim;Asked for Claim;Revendication demandée;Um Anspruch gebeten;;Solicitó derecho;Ha chiesto una Rivendicazione;;;;;;;;x
REQUEST_ANSWER_YES;§GThis Request would be Accepted§!;§GCette demande serait acceptée§!;Dieser Anspruch würde akzeptiert werden.;;Esta solicitud será aceptada;§GQuesta Richiesta sarà Accettata§!;;;;;;;;x
REQUEST_ANSWER_MAYBE;§YThis Request might be Accepted§!;§YCette demande pourrait être acceptée§!;Dieser Anspruch wird vielleicht akzeptiert werden.;;Esta solicitud podría ser aceptada;§YQuesta Richiesta potrebbe essere Accettata§!;;;;;;;;x
REQUEST_ANSWER_NO;§RThis Request would be Denied§!;§RCette demande serait refusée§!;Dieser Anspruch wird abgelehnt werden.;;Esta solicitud será denegada;§RQuesta Richiesta verrà Rifiutata§!;;;;;;;;x
HymnsOfAbrahamDLC;Hymns of Abraham;Hymnes d'Abraham;Hymns of Abraham;;Himnos de Abraham;Hymns of Abraham;;;;;;;;x
WoFUPDLC;Warriors of Faith Unit Pack;Pack d'unités des Guerriers de la foi;Warriors of Faith Unit Pack;;Pack de Unidades Guerreros de la Fe;Warriors of Faith Unit Pack;;;;;;;;x
MOUPDLC;Military Orders Unit Pack;Pack d'unités des ordres militaires;Military Orders Unit Pack;;Pack de Unidades Ordenes Militares;Military Orders Unit Pack;;;;;;;;x
REVOKE_TITLE_TOOLTIP;Revoke the title of §Y$TITLE$§! from §Y$HOLDER$§!;Révoquer le titre de §Y$TITLE$§! de §Y$HOLDER$§!;§Y$HOLDER$§! den Titel §Y$TITLE$§! entziehen;;Revocar el título de §Y$TITLE$§! de §Y$HOLDER$§!;Revoca il Titolo di §Y$TITLE$§! a §Y$HOLDER$§!;;;;;;;;x
TITLE_DESTROY_TOOLTIP_IS_NOT_PRIMARY;Title is not the Primary Title;N'est pas votre titre principal;Der Titel ist nicht der Haupttitel;;El título no es el título principal;Il Titolo non è quello Principale;;;;;;;;x
TITLE_DESTROY_TOOLTIP_CAN_AFFORD;Can afford to lose §Y$PRESTIGE$§! Prestige;Dispose d'un prestige d'au moins §Y$PRESTIGE$§!;Kann es sich leisten, §Y$PRESTIGE$§! Prestige zu verlieren;;Puede permitirse perder §Y$PRESTIGE$§! prestigio;Può permettersi di perdere §Y$PRESTIGE$§! di Prestigio;;;;;;;;x
TITLE_DESTROY_IS_NOT_GAVELKIND;Succession type is not Gavelkind;Le partage salique n'est pas la loi de succession en vigueur;Nachfolgerecht ist nicht Erbteilung;;Tipo de sucesión no es Partes Iguales;La legge di Successione non è Equitativa;;;;;;;;x
temple_baron_jewish_group;Rabbi;Rabbin;Rabbiner;;Rabino;Rabbino;;;;;;;;x
temple_count_jewish_group;Kohen;Cohen;Kohen;;Kohen;Kohen;;;;;;;;x
temple_duke_jewish_group;Rabban;Rabbi;Rabban;;Rabban;Rabban;;;;;;;;x
temple_king_jewish_group;Nasi;Nassi;Nasi;;Nasi;Nasi;;;;;;;;x
