#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;ITALIAN;;;;;;;;x
nick_the_inquisitor;the Inquisitor;l'Inquisit[This.GetEurRice];[This.Getderdie] Inquisitor[This.GetinFemale];;el Inquisidor;l'Inquisitore;;;;;;;;x
INHERITANCE_LOST_ARTIFACTS_LOG;During the transfer of power, $CHARACTER$ lost their $ARTIFACT$.;Pendant le transfert du pouvoir, $CHARACTER$ a perdu '$ARTIFACT$'.;Während des Machtwechsels verlor $CHARACTER$ das Artefakt $ARTIFACT$.;;Durante el traspaso de poder, $CHARACTER$ perdió su $ARTIFACT$.;Durante il trasferimento del potere, $CHARACTER$ ha perso i suoi $ARTIFACT$.;;;;;;;;x
ask_wards_liege_to_allow_culture_religion_swap_desc;Send a letter to §Y[Root.Liege.GetTitledFirstName]§! asking for permission to change the focus for the upbringing of §Y[Root.GetFirstName]§!. Focusing on §YHeritage§! will make §Y[Root.GetFirstName]§! adopt the Guardian's religion and culture.;Envoyer une lettre [Root.Liege.Get_au_TitledFirstNameJ] demandant la permission de changer ce sur quoi se concentre l'éducation de §Y[Root.GetFirstName]§!. Se concentrer sur l'§Yhéritage§! lui fera adopter la religion et la culture du tuteur.;Schickt einen Brief an §Y[Root.Liege.GetTitledFirstName]§! und bittet um die Erlaubnis, den Schwerpunkt bei der Erziehung von §Y[Root.GetFirstName]§! ändern zu dürfen. Den Schwerpunkt bei der Erziehung auf §YTradition§! zu legen, wird §Y[Root.GetFirstName]§! dazu bringen, die Religion und die Kultur des Vormunds anzunehmen.;;Enviar una carta a §Y[Root.Liege.GetTitledFirstName]§! pidiendo permiso para cambiar el foco de la educación de §Y[Root.GetFirstName]§!. Centrarse en la §Yherencia§! hará que §Y[Root.GetFirstName]§! adopte la religión y cultura del tutor.;Manda una lettera a §Y[Root.Liege.GetTitledFirstName]§! chiedendo il permesso di cambiare l'obiettivo dell'educazione di §Y[Root.GetFirstName]§!. Concentrarsi sull'§YEredità Culturale§! farà in modo che §Y[Root.GetFirstName]§! adotti la religione e la cultura del Tutore.;;;;;;;;x
change_wards_focus_to_heritage_desc;Change the focus for the upbringing of §Y[Root.GetFirstName]§!. Focusing on §YHeritage§! will make §Y[Root.GetFirstName]§! adopt the Guardian's religion and culture.;Changer ce sur quoi se concentre l'éducation de §Y[Root.GetFirstName]§!. Se concentrer sur l'§Yhéritage§! lui fera adopter la religion et la culture du tuteur.;Ändert den Schwerpunkt bei der Erziehung von §Y[Root.GetFirstName]§!. Den Schwerpunkt bei der Erziehung auf §YTradition§! zu legen, wird §Y[Root.GetFirstName]§! dazu bringen, die Religion und die Kultur des Vormunds anzunehmen.;;Cambia el foco de la educación de §Y[Root.GetFirstName]§!. Centrarse en la §Yherencia§! hará que §Y[Root.GetFirstName]§! adopte la religión y cultura del tutor.;Cambia l'obbiettivo dell'educazione di §Y[Root.GetFirstName]§!. Concentrarsi sull'§YEredità Culturale§! farà in modo che §Y[Root.GetFirstName]§! adotti la religione e la cultura del Tutore.;;;;;;;;x
EVTDESC_ZE_2131;Dear [Root.GetTitledNameWithNick],\n\nYour initiative to teach [FromFrom.GetFirstName] about Heritage is most welcome.;Ch[Root.GetErEre] [Root.GetTitledNameWithNick],\n\nVotre initiative d'enseigner l'importance de l'héritage à [FromFrom.GetFirstName] est la bienvenue.;Liebe[Root.GetrMale] [Root.GetTitledNameWithNick],\n\nEure Initiative, [FromFrom.GetFirstName] in Tradition zu unterrichten, ist höchst willkommen.;;[Root.GetTitledNameWithNick]:\n\nTu iniciativa de enseñar a [FromFrom.GetFirstName] sobre su herencia es bienvenida.;Caro [Root.GetTitledNameWithNick],\n\nLa tua iniziativa di insegnare a [FromFrom.GetFirstName] l'importanza dell'Eredità Culturale è la benvenuta.;;;;;;;;x
EVTOPTA_ZE_2131;[FromFrom.GetSubjectPronounCap] will be taught well.;Ce sera un bon enseignement.;[FromFrom.GetSheHeCap] wird gut unterrichtet werden.;;Recibirá una buena educación.;[FromFrom.GetSubjectPronounCap] riceverà una buona educazione.;;;;;;;;x
GIVE_ARTIFACT_INTERACTION_TITLE;Give Artifact;Donner un artefact;Artefakt hergeben;;Dar artefacto;Dona l'Artefatto;;;;;;;;x
GIVE_ARTIFACT_INTERACTION_DESC;Gift §Y[Recipient.GetBestName]§! with an Artifact from your Treasury.;Offrir [Recipient.Get_only_au_Title]§Y[Recipient.GetBestName]§! un artefact de votre Trésor.;Schenkt §Y[Recipient.GetBestName]§! ein Artefakt aus Eurer Schatzkammer.;;Regala a §Y[Recipient.GetBestName]§! un artefacto de tu cámara del tesoro.;Regala a §Y[Recipient.GetBestName]§! un Artefatto dal tuo Tesoro.;;;;;;;;x
GIVE_ARTIFACT_INTERACTION_LONG_DESC;You can offer one of your Artifacts as a gift.;Vous pouvez offrir un de vos artefacts comme un cadeau.;Ihr könnt eines Eurer Artefakte als Geschenk anbieten.;;Puedes enviar uno de tus artefactos como regalo.;Puoi offrire uno dei tuoi Artefatti come un dono.;;;;;;;;x
GIVE_ARTIFACT_INTERACTION_0;Select an Artifact to give - gratitude will vary depending on quality and significance to the recipient.;Sélectionnez un artefact à donner - la gratitude varie en fonction de la qualité et de l'importance pour le destinataire.;Wählt ein Artefakt zum Verschenken aus. Die Dankbarkeit wird abhängig von der Qualität und der Bedeutung für den Empfänger variieren.;;Selecciona qué artefacto regalar. El nivel de gratitud variará según la calidad y el significado para su receptor.;Seleziona un Artefatto da donare - la gratitudine varierà in funzione della qualità e del valore per il destinatario.;;;;;;;;x
GIVE_ARTIFACT_INTERACTION_1;Offer $ARTIFACT|Y$ as a gift to §Y[Recipient.GetBestName]§!, for §G+$OPINION$§! Opinion.;Offrir '$ARTIFACT|Y$' [Recipient.Get_only_au_Title]§Y[Recipient.GetBestName]§!, pour §G+$OPINION$§! d'opinion.;§Y[Recipient.GetBestName]§! $ARTIFACT|Y$ als Geschenk anbieten für §G+$OPINION$§! Meinung.;;Enviar $ARTIFACT|Y$ como regalo a §Y[Recipient.GetBestName]§! por §G+$OPINION$§! Opinión.;Offrire $ARTIFACT|Y$ in dono a §Y[Recipient.GetBestName]§!, per §G+$OPINION$§! d'Opinione.;;;;;;;;x
GIVE_ARTIFACT_INTERACTION_2;Offer $ARTIFACT|Y$ as a gift to §Y[Recipient.GetBestName]§!. §RThis will not increase [Recipient.GetPossPronoun] opinion of you further.§!;Offrir '$ARTIFACT|Y$' [Recipient.Get_only_au_Title]§Y[Recipient.GetBestName]§!. §RCela ne va pas davantage augmenter son opinion envers vous.§!;Bietet $ARTIFACT|Y$ §Y[Recipient.GetBestName]§! als Geschenk an. §RDies wird [Recipient.GetPossPronoun]e Meinung über Euch nicht erhöhen.§!;;Envía un/a $ARTIFACT|Y$ como regalo a §Y[Recipient.GetBestName]§!. §REso no mejorará su opinión sobre ti.§!;Offrire $ARTIFACT|Y$ in dono a §Y[Recipient.GetBestName]§!. §Rciò non aumenterà ulteriormente la [Recipient.GetPossPronoun] opinione su di te.§!;;;;;;;;x
GIVE_ARTIFACT_INTERACTION_ACCEPT_SETUP;Artifact Gift Accepted;Offre d'artefact acceptée;Artefaktgeschenk angenommen;;Artefacto de regalo aceptado;Offerta dell'Artefatto Accettata;;;;;;;;x
GIVE_ARTIFACT_INTERACTION_ACCEPT_LOG;§Y[Recipient.GetBestName]§! accepted §Y[GetArtifactName]§! as a gift from §Y[Actor.GetBestName]§!.;[Recipient.Get_only_Le_Title]§Y[Recipient.GetBestName]§! a accepté '§Y[GetArtifactName]§!' comme cadeau [Actor.Get_only_du_Title]§Y[Actor.GetBestName]§!.;§Y[Recipient.GetBestName]§! hat §Y[GetArtifactName]§! als Geschenk von §Y[Actor.GetBestName]§! angenommen.;;§Y[Recipient.GetBestName]§! ha aceptado §Y[GetArtifactName]§! como regalo de §Y[Actor.GetBestName]§!.;§Y[Recipient.GetBestName]§! ha accettato §Y[GetArtifactName]§! in dono da §Y[Actor.GetBestName]§!.;;;;;;;;x
GIVE_ARTIFACT_INTERACTION_DECLINE_SETUP;Artifact Gift Declined;Offre d'artefact refusée;Artefaktgeschenk abgelehnt;;Artefacto de regalo rechazado;Offerta dell'Artefatto Rifiutata;;;;;;;;x
GIVE_ARTIFACT_INTERACTION_DECLINE_LOG;§Y[Recipient.GetBestName]§! declined §Y[Actor.GetBestName]§!'s gift of §Y[GetArtifactName]§!.;[Recipient.Get_only_Le_Title]§Y[Recipient.GetBestName]§! a refusé '§Y[GetArtifactName]§!' comme cadeau [Actor.Get_only_du_Title]§Y[Actor.GetBestName]§!.;§Y[Recipient.GetBestName]§! hat §Y[GetArtifactName]§! als Geschenk von §Y[Actor.GetBestName]§! abgelehnt.;;§Y[Recipient.GetBestName]§! ha rechazado el regalo de §Y[Actor.GetBestName]§! de §Y[GetArtifactName]§!.;§Y[Recipient.GetBestName]§! ha rifiutato §Y[GetArtifactName]§! In dono da §Y[Actor.GetBestName]§! .;;;;;;;;x
GIVE_ARTIFACT_INTERACTION_OFFER;[Actor.GetBestName] is offering me a gift of [GetArtifactName].;[Actor.Get_only_Le_Title][Actor.GetBestName] m'offre '[GetArtifactName]' en cadeau.;[Actor.GetBestName] bietet mir [GetArtifactName] als Geschenk an.;;[Actor.GetBestName] me envía esto como regalo: [GetArtifactName].;[Actor.GetBestName] mi ha offerto in dono [GetArtifactName].;;;;;;;;x
GIVE_ARTIFACT_INTERACTION_LETTER;Will you accept [GetArtifactName] as a humble gift?;Accepteriez-vous '[GetArtifactName]' comme un humble présent ?;Werdet Ihr [GetArtifactName] als ein demütiges Geschenk annehmen?;;¿Aceptas [GetArtifactName] como humilde regalo?;Accetterai [GetArtifactName] come un umile dono?;;;;;;;;x
SELECT_ARTIFACT;Select an Artifact;Choisir un artefact;Ein Artefakt auswählen;;Elegir un artefacto;Seleziona un Artefatto;;;;;;;;x
EVTDESC538;I accept your gracious gift. What a splendid object!;J'accepte votre gracieux présent. Quel magnifique objet !;Ich nehme Euer großzügiges Geschenk an. Was für ein prächtiges Objekt!;;Acepto tu amable obsequio. ¡Qué objeto tan espléndido!;Accetto il tuo grazioso dono. Che splendido oggetto!;;;;;;;;x
gave_artifact;Gave me an Artifact;M'a donné un artefact;Gab mir ein Artefakt;;Me ha dado un artefacto;Mi ha dato un Artefatto;;;;;;;;x
QUALITY;Quality;Qualité;Qualität;;Calidad;Qualità;;;;;;;;x
desc_recently_burnt_the_land;Savages have recently pillaged this Holding. The peasants are arming themselves, hell-bent on defending their homes.;Des sauvages ont récemment pillé cette propriété. Les paysans s'arment, déterminés à défendre leurs maisons.;Wilde haben diese Liegenschaft vor Kurzem geplündert. Die Bauern bewaffnen sich und sind fest entschlossen, ihre Heimat zu verteidigen.;;Unos salvajes han saqueado esta propiedad recientemente. Los campesinos se están levantando en armas, resueltos a defender sus hogares.;I selvaggi hanno recentemente saccheggiato questo Possedimento. I contadini si stanno armando, determinati a difendere le loro case.;;;;;;;;x
desc_burnt_the_land;Frequent brutal raids by savages have left this land in a ravaged state.;Des pillages violents et fréquents de sauvages ont ravagé cette terre.;Unablässige und brutale Raubzüge von Wilden haben dieses Land verwüstet.;;Los brutales y frecuentes asaltos de los salvajes han asolado esta tierra.;Le brutali e frequenti incursioni dei selvaggi hanno devastato questa terra.;;;;;;;;x
rampaging_nomads;Rampaging Horde;Horde déchaînée;Wildgewordene Horde;;Horda arrasadora;Orda Furente;;;;;;;;x
desc_rampaging_nomads;Hordes of rampaging savages are terrorizing the inhabitants of this county. If this county is conquered by a civilized character, the rampaging hordes will disperse.;Des hordes déchaînées terrorisent les habitants de ce comté. Si ce comté est conquis par un personnage civilisé, les hordes déchaînées se disperseront.;Horden brandschatzender Wilder verbreiten Angst und Schrecken unter der Bevölkerung dieser Grafschaft. Wenn diese Grafschaft von einer zivilisierten Person erobert wird, werden sich die wildgewordenen Horden zerstreuen.;;Hordas violentas de salvajes están aterrorizando a los habitantes de este condado. Si un personaje civilizado conquista este condado, las hordas violentas se detendrán.;Orde di selvaggi furenti stanno terrorizzando gli abitanti di questa Contea. Se questa Contea fosse conquistata da un personaggio civilizzato, le orde furenti si disperderanno.;;;;;;;;x
recently_burnt_the_land_not_owner;Plundered by Savages;Pillé par les sauvages;Von Wilden geplündert;;Saqueado por salvajes;Saccheggiata dai Selvaggi;;;;;;;;x
desc_recently_burnt_the_land_not_owner;This county has been plundered by savages. For as long as this modifier remains, the county cannot be plundered again.;Ce comté a été pillé par des sauvages. Tant que ce modificateur reste, le comté ne peut plus être pillé.;Diese Grafschaft wurde von Wilden geplündert. Solange dieser Modifikator aktiv ist, kann die Grafschaft nicht erneut geplündert werden.;;Este condado ha sido saqueado por salvajes. Siempre que permanezca este modificador, el condado no se podrá volver a saquear.;Questa contea è stata saccheggiata dai Selvaggi. Fintanto che questo modificatore permane, la Contea non può essere nuovamente saccheggiata.;;;;;;;;x
EVTDESC_HL_4814_NON_NOMAD;Your warriors have looted, ravaged, pillaged and plundered [target_location.GetName] to such a degree that a Holding in the county has been completely devastated. Only empty ruins remain, haunted by the shades of the slain...;Vos guerriers ont pillé [target_location.GetName] à un degré tel qu'une propriété dans le comté a été complètement dévastée. Seules subsistent des ruines vides, hantées par les morts...;Eure Krieger haben [target_location.GetName] derart geplündert, verwüstet, gebrandschatzt und ausgeraubt, dass eine Liegenschaft in der Grafschaft völlig vernichtet wurde. Nur leere Ruinen sind zurückgeblieben, die von den Schatten der Erschlagenen heimgesucht werden ...;;Tus guerreros han robado, saqueado y desvalijado [target_location.GetName] hasta tal punto, que una de las propiedades del condado ha quedado completamente devastada. Solo quedan ruinas vacías, frecuentadas por las sombras de los muertos...;I tuoi guerrieri hanno saccheggiato e devastato [target_location.GetName] a tal punto che un Possedimento nella Contea è stato completamente distrutto. Rimangono solo le rovine vuote, infestate dalle ombre degli morti...;;;;;;;;x
PROVINCE_HOTKEY_INFO;Press §GRight Click§! to go to the province owner\nPress §GShift + Right Click§! to go to the top liege of the province owner\nPress §GAlt + Right Click§! to interact with the province owner\nPress §GAlt + Shift + Right Click§! to interact with the top liege of the province owner;§GFaites un clic droit§! pour voir le propriétaire du comté\n§GAppuyez sur Shift + clic droit§! pour voir le seigneur lige du propriétaire du comté\n§GAppuyez sur Alt + clic droit§! pour interagir avec le propriétaire du comté\n§GAppuyez sur Alt + Maj + clic droit§! pour interagir avec le seigneur lige du propriétaire du comté;§GRechte Maustaste§! drücken, um zum Besitzer der Provinz zu gehen\n§GUmschalttaste + rechte Maustaste§! drücken, um zum obersten Lehnsherrn des Besitzers der Provinz zu gehen\n§GAlt + rechte Maustaste§! drücken, um mit dem Besitzer der Provinz zu interagieren\n§GAlt + Umschalttaste + rechte Maustaste§! drücken, um mit dem obersten Lehnsherrn des Besitzers der Provinz zu interagieren;;§GClic derecho§! para ir al propietario de la provincia\n§GMayús + clic derecho§! para ir al señor principal del propietario de la provincia\n§GAlt + clic derecho§! para interactuar con el propietario de la provincia\n§GAlt + Mayús + clic derecho§! para interactuar con el señor principal del propietario de la provincia;Premi §GClic Destro§! per andare al proprietario della provincia\nPremi §GShift + Clic Destro§! per andare al signore principale del proprietario della provincia\nPremi §GAlt + Clic Destro§! per interagire con il proprietario della provincia\nPremi §GAlt + Shift + Clic Destro§! per interagire con il signore principale del proprietario della provincia;;;;;;;;x
EMPTY_SEAT_VOTES;$NUM|Y$ empty seats;$NUM|Y$ sièges vides;$NUM|Y$ leere Sitze;;$NUM|Y$ asientos vacíos;$NUM|Y$ seggi vacanti;;;;;;;;x
SET_SECRET_RELIGION_NONE;$CHARACTER|Y$ ceases to secretly practice a religion\n;$CHARACTER|Y$ cesse de pratiquer secrètement une religion\n;$CHARACTER|Y$ hört auf, heimlich eine Religion auszuüben\n;;$CHARACTER|Y$ deja de practicar una religión en secreto\n;$CHARACTER|Y$ smette di praticare in segreto una religione\n;;;;;;;;x
SET_SECRET_RELIGION;$CHARACTER|Y$ starts to secretly practice the $RELIGION|Y$ religion\n;$CHARACTER|Y$ commence à pratiquer secrètement la religion $RELIGION|Y$\n;$CHARACTER|Y$ beginnt, heimlich die $RELIGION|Y$§Ye§! Religion auszuüben\n;;$CHARACTER|Y$ comienza a practicar la religión $RELIGION|Y$ en secreto\n;$CHARACTER|Y$ inizia a praticare in segreto la religione $RELIGION|Y$\n;;;;;;;;x
HAVE_NOT_RELIGION_GROUP_SECRET;Does not secretly practice a religion in the $RELIGION_GROUP|Y$ group;Ne pratique pas secrètement une religion du groupe $RELIGION_GROUP|Y$;Übt nicht heimlich eine Religion in der $RELIGION_GROUP|Y$§Yen§! Religionsgruppe aus;;No practica una religión en secreto en el grupo $RELIGION_GROUP|Y$;Non pratica in segreto una religione del tipo $RELIGION_GROUP|Y$;;;;;;;;x
HAVE_RELIGION_GROUP_SECRET;Secretly practices a religion in the $RELIGION_GROUP|Y$ group;Pratique secrètement une religion du groupe $RELIGION_GROUP|Y$;Übt heimlich eine Religion in der $RELIGION_GROUP|Y$§Yen§! Religionsgruppe aus;;Practica una religión en secreto en el grupo $RELIGION_GROUP|Y$;Pratica in segreto una religione del tipo $RELIGION_GROUP|Y$;;;;;;;;x
HAVE_NOT_RELIGION_GROUP_TRUE;Does not truly practice a religion in the $RELIGION_GROUP|Y$ group;Ne pratique pas vraiment une religion du groupe $RELIGION_GROUP|Y$;Übt nicht wirklich eine Religion in der $RELIGION_GROUP|Y$§Yen§! Religionsgruppe aus;;No practica con sinceridad ninguna religión en el grupo $RELIGION_GROUP|Y$;Non pratica veramente una religione del tipo $RELIGION_GROUP|Y$;;;;;;;;x
HAVE_RELIGION_GROUP_TRUE;Truly practices a religion in the $RELIGION_GROUP|Y$ group;Pratique vraiment une religion du groupe $RELIGION_GROUP|Y$;Übt wirklich eine Religion in der $RELIGION_GROUP|Y$§Yen§! Religionsgruppe aus;;Practica con sinceridad una religión en el grupo $RELIGION_GROUP|Y$;Pratica veramente una religione del tipo $RELIGION_GROUP|Y$;;;;;;;;x
HAVE_NOT_RELIGION_GROUP_CHARACTER;Does not publicly practice a religion in the $RELIGION_GROUP|Y$ group;Ne pratique pas publiquement une religion du groupe $RELIGION_GROUP|Y$;Übt nicht öffentlich eine Religion in der $RELIGION_GROUP|Y$§Yen§! Religionsgruppe aus;;No practica públicamente una religión en el grupo $RELIGION_GROUP|Y$;Non pratica pubblicamente una religione del tipo $RELIGION_GROUP|Y$;;;;;;;;x
HAVE_RELIGION_GROUP_CHARACTER;Publicly practices a religion in the $RELIGION_GROUP|Y$ group;Pratique publiquement une religion du groupe $RELIGION_GROUP|Y$;Übt öffentlich eine Religion in der $RELIGION_GROUP|Y$§Yen§! Religionsgruppe aus;;Practica públicamente una religión en el grupo $RELIGION_GROUP|Y$;Pratica pubblicamente una religione del tipo $RELIGION_GROUP|Y$;;;;;;;;x
HAVE_NOT_RELIGION_SECRET;Does not secretly practice the $RELIGION|Y$ religion;Ne pratique pas secrètement la religion $RELIGION|Y$;Übt nicht heimlich die $RELIGION|Y$§Ye§! Religion aus;;No practica la religión $RELIGION|Y$ en secreto;Non pratica in segreto la religione $RELIGION|Y$;;;;;;;;x
HAVE_RELIGION_SECRET;Secretly practices the $RELIGION|Y$ religion;Pratique secrètement la religion $RELIGION|Y$;Übt heimlich die $RELIGION|Y$§Ye§! Religion aus;;Practica la religión $RELIGION|Y$ en secreto;Pratica in segreto la religione $RELIGION|Y$;;;;;;;;x
HAVE_NOT_RELIGION_TRUE;Does not truly follows the $RELIGION|Y$ religion;Ne suit pas vraiment la religion $RELIGION|Y$;Befolgt nicht wirklich die $RELIGION|Y$§Ye§! Religion;;No sigue con sinceridad la religión $RELIGION|Y$;Non segue veramente la religione $RELIGION|Y$;;;;;;;;x
HAVE_RELIGION_TRUE;Truly follows the $RELIGION|Y$ religion;Suit vraiment la religion $RELIGION|Y$;Befolgt wirklich die $RELIGION|Y$§Ye§! Religion;;Sigue con sinceridad la religión $RELIGION|Y$;Segue veramente la religione $RELIGION|Y$;;;;;;;;x
HAVE_NO_SECRET_RELIGION;Does not secretly practice a religion;Ne pratique pas secrètement une religion;Übt nicht heimlich eine Religion aus;;No practica una religión en secreto;Non pratica in segreto una religione;;;;;;;;x
HAVE_A_SECRET_RELIGION;Secretly practices a religion;Pratique secrètement une religion;Übt heimlich eine Religion aus;;Practica una religión en secreto;Pratica in segreto una religione;;;;;;;;x
HAVE_NOT_RELIGION_CHARACTER;Does not publicly follow the $RELIGION|Y$ religion;Ne suit pas publiquement la religion $RELIGION|Y$;Befolgt nicht öffentlich die $RELIGION|Y$§Ye§! Religion;;No sigue públicamente la religión $RELIGION|Y$;Non segue pubblicamente la religione $RELIGION|Y$;;;;;;;;x
HAVE_RELIGION_CHARACTER;Publicly follows the $RELIGION|Y$ religion;Suit publiquement la religion $RELIGION|Y$;Befolgt öffentlich die $RELIGION|Y$§Ye§! Religion;;Sigue públicamente la religión $RELIGION|Y$;Segue pubblicamente la religione $RELIGION|Y$;;;;;;;;x
RELIGION_CHANGE_SECRET;$WHERE|Y$ starts secretly practicing the $NAME|Y$ religion.\n;$WHERE|Y$ commence à pratiquer en secret la religion $NAME|Y$.\n;$WHERE|Y$ beginnt, heimlich die Religion $NAME|Y$ auszuüben.\n;;$WHERE|Y$ comienza a practicar la religión $NAME|Y$ en secreto.\n;$WHERE|Y$ inizia a praticare in segreto la religione $NAME|Y$.\n;;;;;;;;x
String_Fire_and_blood;Fire and blood;Feu et sang;Feuer und Blut;;Fuego y sangre;Fuoco e Sangue;;;;;;;;x
String_Huitzilopochtlis_strength_to_you;Huitzilopochtli's strength to you;Que Huitzilopochtli vous prête force;Die Kraft von Huitzilopochtli sei mit Euch;;la fuerza de Huitzilopochtli a ti;La forza di Huitzilopochtli per te;;;;;;;;x
String_hummingbird_symbol;hummingbird symbol;un symbole de colibri;Kolibrisymbol;;símbolo del colibrí;simbolo del colibrì;;;;;;;;x
String_Cathar;Cathar;cathare;Katharer;;cátaro;Cataro;;;;;;;;x
String_Fraticelli;Fraticelli;fraticelle;Fraticelli;;fraticelli;Fraticelli;;;;;;;;x
String_Waldesian;Waldesian;vaudois;Waldenser;;waldesiano;Valdese;;;;;;;;x
String_Lollard;Lollard;lollarde;Lollard;;lolardo;Lollardo;;;;;;;;x
String_Bogomilist;Bogomilist;Bogomile;Bogomil;;bogomilo;Bogomilista;;;;;;;;x
String_Monothelite;Monothelite;monothélite;Monothelit;;monotelita;Monotelita;;;;;;;;x
String_Iconoclast;Iconoclast;iconoclaste;Bilderstürmer;;iconoclasta;Iconoclasta;;;;;;;;x
String_Paulician;Paulician;paulicienne;Paulikianer;;pauliciano;Pauliciano;;;;;;;;x
String_Miaphysite;Miaphysite;miaphysite;Miaphysit;;miafisita;Miafisita;;;;;;;;x
String_Monophysite;Monophysite;monophysite;Monophysit;;monofisita;Monofisita;;;;;;;;x
String_Nestorian;Nestorian;nestorienne;Nestorianer;;nestoriano;Nestoriano;;;;;;;;x
String_Messalian;Messalian;messalienne;Messalianer;;mesaliano;Mesaliano;;;;;;;;x
String_Zikri;Zikri;zikrie;Zikri;;zikri;Zikrita;;;;;;;;x
String_Yazidi;Yazidi;yazidie;Jeside;;yazidí;Yazidita;;;;;;;;x
String_Druze;Druze;druze;Druse;;druso;Druso;;;;;;;;x
String_Hurufi;Hurufi;hurufite;Hurufi;;hurufí;Hurufita;;;;;;;;x
String_Ibadi;Ibadi;ibadite;Ibadi;;ibadí;Ibadita;;;;;;;;x
String_Kharijite;Kharijite;kharidjite;Charidschit;;jariyista;Jariyista;;;;;;;;x
String_Samaritan;Samaritan;samaritaine;Samaritaner;;samaritano;Samaritano;;;;;;;;x
String_Karaite;Karaite;karaïte;Karaite;;caraíta;Caraita;;;;;;;;x
String_Mazdaki;Mazdaki;mazdakite;Mazdakit;;mazdaki;Mazdakita;;;;;;;;x
String_Manichean;Manichean;manichéenne;Manichäist;;maniqueo;Manicheo;;;;;;;;x
String_Aztec;Aztec;aztèque;Azteke;;azteca;Azteca;;;;;;;;x
String_Asceticus;Asceticus;les Ascètes;Asket;;asceta;Asceta;;;;;;;;x
String_Book_of_Illumination;Book of Illumination;le Livre de l'Illumination;Buch der Erleuchtung;;Libro de la Iluminación;Libro dell'Illuminazione;;;;;;;;x
String_Epistles_of_Wisdom;Epistles of Wisdom;les Épîtres de la Sagesse;Episteln der Weisheit;;Epístolas de la Sabiduría;Epistole di Saggezza;;;;;;;;x
String_Great_Secret;Great Secret;le Grand Secret;Großes Geheimnis;;Gran Secreto;Grande Segreto;;;;;;;;x
corrupting_magic_minor;Magical Corruption;Corruption magique;Magische Verderbtheit;;Corrupción mágica;Corruzione Magica;;;;;;;;x
#corrupting_magic_minor_desc;All power comes at a price. The use of dark magic has corrupted this character's body, making it frail and susceptible to disease.;Tout pouvoir a un prix. L'utilisation de la magie noire a corrompu le corps de ce personnage, le rendant fragile et sensible aux maladies.;Alle Macht hat ihren Preis. Die Verwendung dunkler Magie hat den Körper dieser Person verdorben und ihn gebrechlich und anfällig für Krankheiten gemacht.;;El poder tiene un precio. El uso de la magia oscura ha corrompido el cuerpo de este personaje, debilitándolo y volviéndolo susceptible a la enfermedad.;Tutti i poteri hanno un prezzo. L'uso della magia oscura ha corrotto il corpo di questo personaggio, rendendolo fragile e sensibile alle malattie.;;;;;;;;x
corrupting_magic_major;Magical Corruption;Corruption magique;Magische Verderbtheit;;Corrupción mágica;Corruzione Magica;;;;;;;;x
corrupting_magic_major_desc;All power comes at a price. The use of dark magic has corrupted this character's body, making it frail and susceptible to disease.;Tout le pouvoir a un prix. L'utilisation de la magie noire a corrompu le corps de ce personnage, le rendant fragile et sensible aux maladies.;Alle Macht hat ihren Preis. Die Verwendung dunkler Magie hat den Körper dieser Person verdorben und ihn gebrechlich und anfällig für Krankheiten gemacht.;;El poder tiene un precio. El uso de la magia oscura ha corrompido el cuerpo de este personaje, debilitándolo y volviéndolo susceptible a la enfermedad.;Tutti i poteri hanno un prezzo. L'uso della magia oscura ha corrotto il corpo di questo personaggio, rendendolo fragile e sensibile alle malattie.;;;;;;;;x
EVTOPTA_MNM_7051;I knew power had its price, yet I never anticipated this...;Je savais que le pouvoir avait un prix, mais pas à ce point...;Ich wusste, dass Macht ihren Preis hat, doch das habe ich nicht geahnt ...;;Sabía que el poder tenía un precio, pero nunca habría imaginado esto...;Sapevo che il potere aveva un prezzo, ma non immaginavo questo...;;;;;;;;x
EVTDESC_MNM_7051;The corruption crept up on me so slowly - I did not realize what was happening to me before it was too late. Now the dark tendrils of [Root.GetDWDevil]'s magic has invaded my mind, sapping my energy and resolve. I am haunted by anxious thoughts and sleep eludes me.;La dépravation s'est emparée de moi si lentement - je n'ai pas réalisé ce qui m'arrivait avant qu'il ne soit trop tard. Les vrilles maléfiques de la magie [Root.GetDWDevilDuDela] ont envahi mon esprit, minant mon énergie et ma résolution. Les pensées anxieuses me hantent et je ne dors plus.;Die Verderbtheit hat mich ganz langsam befallen. Erst als es zu spät war, merkte ich, was mit mir geschah. Jetzt sind die dunklen Ranken der Magie von [Root.GetDWDevil] in meinen Geist eingedrungen und zehren an meiner Energie und meiner Willenskraft. Ich werde von bangen Gedanken geplagt und kann nicht mehr schlafen.;;La corrupción fue creciendo en mí progresivamente. No me di cuenta de lo que me ocurría hasta que fue demasiado tarde. Ahora, los zarcillos de la magia de [Root.GetDWDevil] invaden mi mente y sorben mi energía y determinación. Me persiguen pensamientos de ansiedad y el sueño me elude.;La corruzione si è impossessata di me lentamente - non mi sono reso conto di quello che mi stava succedendo fino a quando non è stato troppo tardi. Ora i lacci scuri della magia di [Root.GetDWDevil] hanno invaso la mia mente, fiaccando la mia energia e determinazione. Sono perseguitato da pensieri angoscianti e non riesco più a dormire.;;;;;;;;x
